seqname,tax_id
Och,Ochromonas_sp.
Hak,Heterosigma_akashiwo
Fpa,Florenciella_parvula
Gte,Gracilaria_tenuistipitata
Ctu,Calliarthron_tuberculosum
Gth,Guillardia_theta
Fve,Fucus_vesiculosus
Cre,Chlamydomonas_reinhardtii
Msp,Monomastix_sp.
Pel,Pseudopedinella_elastica
Ehu,Emiliania_huxleyi
Chv,Chlorella_vulgaris
Tmi,Trachydiscus_minutus
Pan,Phaeocystis_antarctica
Nga,Nannochloropsis_gaditana
Nol,Nephroselmis_olivacea
Cve,Chromera_velia
Kve,Karlodinium_veneficum
Sja,Saccharina_japonica
Fcy,Fragilariopsis_cylindrus
Rsa,Rhodomonas_salina
Noc,Nannochloropsis_oceanica
Pcr,Porphyridium_purpureum
Psp,Pelagomonas_sp.
Vli,Vaucheria_litorea
Gsu,Galdieria_sulphuraria
Cpa,Cyanophora_paradoxa
Cme,Cyanidioschyzon_merolae
Cvu,Chara_vulgaris
Ath,Arabidopsis_thaliana
Cat,Chlorokybus_atmophyticus
Fsp,Fistulifera_sp.
Vbr,Vitrella_brassicaformis
Ptr,Phaeodactylum_tricornutum
Sru,Syntrichia_ruralis
Mvi,Mesostigma_viride
Cpr,Cryptomonas_paramecium
Ccr,Chondrus_crispus
Cca,Cyanidium_caldarium
Ppa,Pyramimonas_parkeae
Dba,Durinskia_baltica
Ala,Aureoumbra_lagunensis
Osi,Odontella_sinensis
Ppu,Porphyra_purpurea
Kfo,Kryptoperidinium_foliaceum
Pmi,Pedinomonas_minor
