seqname,tax_id
Och,Ochromonas_sp.
Hak,Heterosigma_akashiwo
Fpa,Florenciella_parvula
Gte,Gracilaria_tenuistipitata
Ctu,Calliarthron_tuberculosum
Gth,Guillardia_theta
Fve,Fucus_vesiculosus
Msp,Monomastix_sp.
Pel,Pseudopedinella_elastica
Ehu,Emiliania_huxleyi
Chv,Chlorella_vulgaris
Tmi,Trachydiscus_minutus
Esi,Ectocarpus_siliculosus
Nga,Nannochloropsis_gaditana
Nol,Nephroselmis_olivacea
Plu,Pavlova_lutheri
Sja,Saccharina_japonica
Mpo,Marchantia_polymorpha
Rsa,Rhodomonas_salina
Noc,Nannochloropsis_oceanica
Pcr,Porphyridium_purpureum
Pan,Phaeocystis_antarctica
Psp,Pelagomonas_sp.
Pye,Pyropia_yezoensis
Vli,Vaucheria_litorea
Aan,Aureococcus_anophagefferens
Cve,Chromera_velia
Cpa,Cyanophora_paradoxa
Cme,Cyanidioschyzon_merolae
Cvu,Chara_vulgaris
Ath,Arabidopsis_thaliana
Cat,Chlorokybus_atmophyticus
Fsp,Fistulifera_sp.
Vbr,Vitrella_brassicaformis
Ptr,Phaeodactylum_tricornutum
Tps,Thalassiosira_pseudonana
Cre,Chlamydomonas_reinhardtii
Mvi,Mesostigma_viride
Ccr,Chondrus_crispus
Cca,Cyanidium_caldarium
Ppa,Pyramimonas_parkeae
Dba,Durinskia_baltica
Ala,Aureoumbra_lagunensis
Osi,Odontella_sinensis
Ppu,Porphyra_purpurea
Fcy,Fragilariopsis_cylindrus
Kfo,Kryptoperidinium_foliaceum
Pmi,Pedinomonas_minor
