seqname,tax_id
Och,Ochromonas_sp.
Hak,Heterosigma_akashiwo
Fpa,Florenciella_parvula
Gte,Gracilaria_tenuistipitata
Ctu,Calliarthron_tuberculosum
Gth,Guillardia_theta
Fve,Fucus_vesiculosus
Cre,Chlamydomonas_reinhardtii
Msp,Monomastix_sp.
Pel,Pseudopedinella_elastica
Gpo,Lingulodinium_polyedra
Chv,Chlorella_vulgaris
Tmi,Trachydiscus_minutus
Pan,Phaeocystis_antarctica
Nga,Nannochloropsis_gaditana
Nol,Nephroselmis_olivacea
Plu,Pavlova_lutheri
Sja,Saccharina_japonica
Mpo,Marchantia_polymorpha
Rsa,Rhodomonas_salina
Noc,Nannochloropsis_oceanica
Pcr,Porphyridium_purpureum
Esi,Ectocarpus_siliculosus
Psp,Pelagomonas_sp.
Pye,Pyropia_yezoensis
Vli,Vaucheria_litorea
Aca,Amphidinium_carterae
Aan,Aureococcus_anophagefferens
Gsu,Galdieria_sulphuraria
Cve,Chromera_velia
Cpa,Cyanophora_paradoxa
Cme,Cyanidioschyzon_merolae
Cvu,Chara_vulgaris
Ath,Arabidopsis_thaliana
Cat,Chlorokybus_atmophyticus
Fsp,Fistulifera_sp.
Vbr,Vitrella_brassicaformis
Ptr,Phaeodactylum_tricornutum
Tps,Thalassiosira_pseudonana
Sru,Syntrichia_ruralis
Mvi,Mesostigma_viride
Ccr,Chondrus_crispus
Cca,Cyanidium_caldarium
Ehu,Emiliania_huxleyi
Dba,Durinskia_baltica
Ala,Aureoumbra_lagunensis
Osi,Odontella_sinensis
Htr,Heterocapsa_triquetra
Ppu,Porphyra_purpurea
Fcy,Fragilariopsis_cylindrus
Kfo,Kryptoperidinium_foliaceum
Pmi,Pedinomonas_minor
