tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8
Root,Root,root,Root,Root,,,,,,,,,
nucleus,Root,rank_0,nucleus,Root,nucleus,,,,,,,,
Eukaryota,nucleus,rank_1,Eukaryota,Root,nucleus,Eukaryota,,,,,,,
Stramenopiles,Eukaryota,rank_2,Stramenopiles,Root,nucleus,Eukaryota,Stramenopiles,,,,,,
Ochrophyta,Stramenopiles,rank_3,Ochrophyta,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,,,,,
Chrysophyceae,Ochrophyta,rank_4,Chrysophyceae,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,,,,
Chrysophyceae_X,Chrysophyceae,rank_5,Chrysophyceae_X,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,,,
Chrysophyceae_Clade_C,Chrysophyceae_X,rank_6,Chrysophyceae_Clade_C,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade_C,,
Ochromonas,Chrysophyceae_Clade_C,rank_7,Ochromonas,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade_C,Ochromonas,
Ochromonas_sp.,Ochromonas,rank_8,Ochromonas_sp.,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade_C,Ochromonas,Ochromonas_sp.
Raphidophyceae,Ochrophyta,rank_4,Raphidophyceae,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Raphidophyceae,,,,
Raphidophyceae_X,Raphidophyceae,rank_5,Raphidophyceae_X,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Raphidophyceae,Raphidophyceae_X,,,
Raphidophyceae_XX,Raphidophyceae_X,rank_6,Raphidophyceae_XX,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Raphidophyceae,Raphidophyceae_X,Raphidophyceae_XX,,
Heterosigma,Raphidophyceae_XX,rank_7,Heterosigma,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Raphidophyceae,Raphidophyceae_X,Raphidophyceae_XX,Heterosigma,
Heterosigma_akashiwo,Heterosigma,rank_8,Heterosigma_akashiwo,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Raphidophyceae,Raphidophyceae_X,Raphidophyceae_XX,Heterosigma,Heterosigma_akashiwo
Dictyochophyceae,Ochrophyta,rank_4,Dictyochophyceae,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,,,,
Dictyochophyceae_X,Dictyochophyceae,rank_5,Dictyochophyceae_X,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,,,
Florenciellales,Dictyochophyceae_X,rank_6,Florenciellales,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,,
Florenciella,Florenciellales,rank_7,Florenciella,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,Florenciella,
Florenciella_parvula,Florenciella,rank_8,Florenciella_parvula,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,Florenciella,Florenciella_parvula
Archaeplastida,Eukaryota,rank_2,Archaeplastida,Root,nucleus,Eukaryota,Archaeplastida,,,,,,
