seqname,tax_id
Och,Ochromonas_sp.
Hak,Heterosigma_akashiwo
Fpa,Florenciella_parvula
Gte,Gracilaria_tenuistipitata
Gth,Guillardia_theta
Msp,Monomastix_sp.
Pel,Pseudopedinella_elastica
Ehu,Emiliania_huxleyi
Tmi,Trachydiscus_minutus
Esi,Ectocarpus_siliculosus
Nol,Nephroselmis_olivacea
Plu,Pavlova_lutheri
Mpo,Marchantia_polymorpha
Rsa,Rhodomonas_salina
Noc,Nannochloropsis_oceanica
Pcr,Porphyridium_purpureum
Pan,Phaeocystis_antarctica
Vli,Vaucheria_litorea
Psp,Pelagomonas_sp.
Ctu,Calliarthron_tuberculosum
Gsu,Galdieria_sulphuraria
Cpa,Cyanophora_paradoxa
Cme,Cyanidioschyzon_merolae
Cvu,Chara_vulgaris
Ath,Arabidopsis_thaliana
Cat,Chlorokybus_atmophyticus
Fsp,Fistulifera_sp.
Vbr,Vitrella_brassicaformis
Tps,Thalassiosira_pseudonana
Mvi,Mesostigma_viride
Ccr,Chondrus_crispus
Cca,Cyanidium_caldarium
Ppa,Pyramimonas_parkeae
Dba,Durinskia_baltica
Ala,Aureoumbra_lagunensis
Osi,Odontella_sinensis
Ppu,Porphyra_purpurea
Ptr,Phaeodactylum_tricornutum
