seqname,tax_id
Och,Ochromonas_sp.
Hak,Heterosigma_akashiwo
Fpa,Florenciella_parvula
Gte,Gracilaria_tenuistipitata
Ctu,Calliarthron_tuberculosum
Gth,Guillardia_theta
Cre,Chlamydomonas_reinhardtii
Ptr,Phaeodactylum_tricornutum
Pel,Pseudopedinella_elastica
Ehu,Emiliania_huxleyi
Chv,Chlorella_vulgaris
Tmi,Trachydiscus_minutus
Esi,Ectocarpus_siliculosus
Nga,Nannochloropsis_gaditana
Nol,Nephroselmis_olivacea
Plu,Pavlova_lutheri
Kve,Karlodinium_veneficum
Sja,Saccharina_japonica
Mpo,Marchantia_polymorpha
Rsa,Rhodomonas_salina
Noc,Nannochloropsis_oceanica
Pcr,Porphyridium_purpureum
Pan,Phaeocystis_antarctica
Vli,Vaucheria_litorea
Gsu,Galdieria_sulphuraria
Cve,Chromera_velia
Cpa,Cyanophora_paradoxa
Cme,Cyanidioschyzon_merolae
Cvu,Chara_vulgaris
Ath,Arabidopsis_thaliana
Cat,Chlorokybus_atmophyticus
Fsp,Fistulifera_sp.
Vbr,Vitrella_brassicaformis
Sru,Syntrichia_ruralis
Mvi,Mesostigma_viride
Ccr,Chondrus_crispus
Cca,Cyanidium_caldarium
Ppa,Pyramimonas_parkeae
Ala,Aureoumbra_lagunensis
Osi,Odontella_sinensis
Ppu,Porphyra_purpurea
Pmi,Pedinomonas_minor
