seqname,tax_id
Och,Ochromonas_sp.
Hak,Heterosigma_akashiwo
Fpa,Florenciella_parvula
Gte,Gracilaria_tenuistipitata
Ctu,Calliarthron_tuberculosum
Pcr,Porphyridium_purpureum
Fve,Fucus_vesiculosus
Cre,Chlamydomonas_reinhardtii
Msp,Monomastix_sp.
Pel,Pseudopedinella_elastica
Ehu,Emiliania_huxleyi
Chv,Chlorella_vulgaris
Tmi,Trachydiscus_minutus
Esi,Ectocarpus_siliculosus
Nga,Nannochloropsis_gaditana
Nol,Nephroselmis_olivacea
Plu,Pavlova_lutheri
Kve,Karlodinium_veneficum
Sja,Saccharina_japonica
Mpo,Marchantia_polymorpha
Rsa,Rhodomonas_salina
Noc,Nannochloropsis_oceanica
Pan,Phaeocystis_antarctica
Vli,Vaucheria_litorea
Aca,Amphidinium_carterae
Gsu,Galdieria_sulphuraria
Cve,Chromera_velia
Cpa,Cyanophora_paradoxa
Cme,Cyanidioschyzon_merolae
Cvu,Chara_vulgaris
Ath,Arabidopsis_thaliana
Cat,Chlorokybus_atmophyticus
Vbr,Vitrella_brassicaformis
Ptr,Phaeodactylum_tricornutum
Tps,Thalassiosira_pseudonana
Sru,Syntrichia_ruralis
Mvi,Mesostigma_viride
Ccr,Chondrus_crispus
Cca,Cyanidium_caldarium
Ppa,Pyramimonas_parkeae
Ala,Aureoumbra_lagunensis
Htr,Heterocapsa_triquetra
Ppu,Porphyra_purpurea
Pmi,Pedinomonas_minor
