seqname,tax_id
Och,Ochromonas_sp.
Hak,Heterosigma_akashiwo
Fpa,Florenciella_parvula
Gte,Gracilaria_tenuistipitata
Gth,Guillardia_theta
Fve,Fucus_vesiculosus
Pel,Pseudopedinella_elastica
Ehu,Emiliania_huxleyi
Tmi,Trachydiscus_minutus
Esi,Ectocarpus_siliculosus
Nga,Nannochloropsis_gaditana
Vli,Vaucheria_litorea
Plu,Pavlova_lutheri
Kve,Karlodinium_veneficum
Fcy,Fragilariopsis_cylindrus
Rsa,Rhodomonas_salina
Noc,Nannochloropsis_oceanica
Pcr,Porphyridium_purpureum
Pan,Phaeocystis_antarctica
Psp,Pelagomonas_sp.
Pye,Pyropia_yezoensis
Ctu,Calliarthron_tuberculosum
Gsu,Galdieria_sulphuraria
Cve,Chromera_velia
Cpa,Cyanophora_paradoxa
Cme,Cyanidioschyzon_merolae
Aan,Aureococcus_anophagefferens
Ccr,Chondrus_crispus
Fsp,Fistulifera_sp.
Vbr,Vitrella_brassicaformis
Tps,Thalassiosira_pseudonana
Sja,Saccharina_japonica
Cca,Cyanidium_caldarium
Dba,Durinskia_baltica
Ala,Aureoumbra_lagunensis
Osi,Odontella_sinensis
Ppu,Porphyra_purpurea
Kfo,Kryptoperidinium_foliaceum
Ptr,Phaeodactylum_tricornutum
